alg,op,iterations,total_time_s,time_us_mean,time_us_popstdev,tsc_ticks_mean,tsc_ticks_popstdev
ML-KEM-512,keygen,541850,3.0,5.537,1.362,18816.0,4331.0
ML-KEM-512,encaps,497724,3.0,6.027,1.376,20492.0,4582.0
ML-KEM-512,decaps,412404,3.0,7.274,1.425,24740.0,4710.0
ML-KEM-768,keygen,325545,3.0,9.215,1.179,31348.0,3870.0
ML-KEM-768,encaps,310741,3.0,9.654,1.182,32839.0,3667.0
ML-KEM-768,decaps,255546,3.0,11.74,1.525,39956.0,4973.0
ML-KEM-1024,keygen,227152,3.0,13.207,1.459,44954.0,4803.0
ML-KEM-1024,encaps,209972,3.0,14.288,1.454,48635.0,4829.0
ML-KEM-1024,decaps,176928,3.0,16.956,1.539,57727.0,5085.0
Classic-McEliece-348864,keygen,95,3.019,31774.758,6851.976,108288765.0,23351855.0
Classic-McEliece-348864,encaps,261569,3.0,11.469,2.702,39002.0,9091.0
Classic-McEliece-348864,decaps,104199,3.0,28.791,2.174,98072.0,7215.0
Classic-McEliece-6688128,keygen,19,3.0,157912.526,54626.336,538169202.0,186167750.0
Classic-McEliece-6688128,encaps,64484,3.0,46.524,12.919,158456.0,44000.0
Classic-McEliece-6688128,decaps,45181,3.0,66.401,3.743,226221.0,12695.0
NTRU-HPS-2048-509,keygen,75860,3.0,39.547,2.736,134702.0,9246.0
NTRU-HPS-2048-509,encaps,240562,3.0,12.471,1.241,42440.0,3883.0
NTRU-HPS-2048-509,decaps,404298,3.0,7.42,0.941,25225.0,2750.0
NTRU-HRSS-701,keygen,52843,3.0,56.773,3.364,193344.0,11359.0
NTRU-HRSS-701,encaps,306304,3.0,9.794,1.263,33307.0,4012.0
NTRU-HRSS-701,decaps,250557,3.0,11.973,1.708,40712.0,5619.0
